Year,Plot,DBH,Height,Gap,Biomass,Richness,H',C_0-50,C_51-100,C_101-150,C_151-200,CC
2016,S13-2-67,5.724615,2.975385,77.09,99.48,12,2.2,4,4,1,1,4.972972973
2016,S13-2-68,6.4195,3.426833,62.73,94.04667,16,2.5,4,2,1,1,5
2016,S13-26-19,3.409091,1.424848,73.63,60.79667,16,2.53,4,1,1,1,5.4
2016,S13-26-20,6.176889,2.858667,74.45,51.35,14,2.29,3,2,2,1,5.176470588
2016,S13-26-37,5.7156,2.2328,82.86,45.1,13,2.17,3,3,1,1,5.944444444
2016,S13-26-38,4.9125,1.889444,83.99,44.27,12,2.15,4,1,1,1,5.822222222
2016,S13-6-11,5.604,2.6666,72.61,49.93,16,2.53,4,2,1,1,4.384615385
2016,S13-6-12,5.461224,2.570204,83.78,57.305,11,2.17,4,3,1,1,5.378378378
2016,S13-6-41,3.957692,1.893077,86.54,50.89,9,1.99,4,4,1,1,4.71875
2016,S13-6-42,5.946512,2.981628,71.22,48.25,16,2.59,4,4,2,1,4.921568627
2016,S13-9-13,6.603077,2.880769,76.74,106.83,16,2.43,3,1,1,1,4.731707317
2016,S13-9-14,6.685946,3.050811,79.52,50.37,17,2.48,4,4,2,1,6.225
2016,S13-9-39,6.674074,2.984444,68.58,67.905,15,2.43,2,1,1,1,4.804347826
2016,S13-9-40,7.442791,3.323256,71.49,82.08,16,2.53,4,1,1,1,5
