Site,Lat,Lon,ppt_Jan,ppt_Feb,ppt_Mar,ppt_Apr,ppt_May,ppt_Jun,ppt_Jul,ppt_Aug,ppt_Sep,ppt_Oct,ppt_Nov,ppt_Dec,ppt_Annual,tmin_Jan,tmin_Feb,tmin_Mar,tmin_Apr,tmin_May,tmin_Jun,tmin_Jul,tmin_Aug,tmin_Sep,tmin_Oct,tmin_Nov,tmin_Dec,tmin_Annual,tmean_Jan,tmean_Feb,tmean_Mar,tmean_Apr,tmean_May,tmean_Jun,tmean_Jul,tmean_Aug,tmean_Sep,tmean_Oct,tmean_Nov,tmean_Dec,tmean_Annual,tmax_Jan,tmax_Feb,tmax_Mar,tmax_Apr,tmax_May,tmax_Jun,tmax_Jul,tmax_Aug,tmax_Sep,tmax_Oct,tmax_Nov,tmax_Dec,tmax_Annual
Hyattville,44.139644,-107.528617,12.12,13.74,19.16,32.94,51.92,33.24,21.96,13.85,30.22,28.79,16.77,12.85,287.55,-12.5,-10.5,-4.8,-0.2,5.2,9.9,13.4,11.9,6.7,0.1,-6.5,-11.7,0.1,-5.6,-3.6,2.7,7.3,12.8,18.2,22.7,21.4,15.8,8.2,0.7,-5,8,1.4,3.4,10.2,14.9,20.4,26.6,31.9,30.9,24.9,16.3,7.8,1.6,15.9
Hyattville,44.139644,-107.528617,12.12,13.74,19.16,32.94,51.92,33.24,21.96,13.85,30.22,28.79,16.77,12.85,287.55,-12.5,-10.5,-4.8,-0.2,5.2,9.9,13.4,11.9,6.7,0.1,-6.5,-11.7,0.1,-5.6,-3.6,2.7,7.3,12.8,18.2,22.7,21.4,15.8,8.2,0.7,-5,8,1.4,3.4,10.2,14.9,20.4,26.6,31.9,30.9,24.9,16.3,7.8,1.6,15.9
Hyattville,44.139644,-107.528617,12.12,13.74,19.16,32.94,51.92,33.24,21.96,13.85,30.22,28.79,16.77,12.85,287.55,-12.5,-10.5,-4.8,-0.2,5.2,9.9,13.4,11.9,6.7,0.1,-6.5,-11.7,0.1,-5.6,-3.6,2.7,7.3,12.8,18.2,22.7,21.4,15.8,8.2,0.7,-5,8,1.4,3.4,10.2,14.9,20.4,26.6,31.9,30.9,24.9,16.3,7.8,1.6,15.9
Hyattville,44.139644,-107.528617,12.12,13.74,19.16,32.94,51.92,33.24,21.96,13.85,30.22,28.79,16.77,12.85,287.55,-12.5,-10.5,-4.8,-0.2,5.2,9.9,13.4,11.9,6.7,0.1,-6.5,-11.7,0.1,-5.6,-3.6,2.7,7.3,12.8,18.2,22.7,21.4,15.8,8.2,0.7,-5,8,1.4,3.4,10.2,14.9,20.4,26.6,31.9,30.9,24.9,16.3,7.8,1.6,15.9
ida_belle,43.185,-116.783,47.58,35.79,45.96,39.89,51.97,31.19,10.96,8.4,12.63,26.59,37.67,51.14,399.77,-5.8,-4.7,-2,0.2,4.3,8,12.9,12.3,7.7,2,-2.9,-6,2.2,-1.3,0.3,3.7,6.6,11.2,15.5,21.1,20.6,15.6,9,2.6,-1.5,8.6,3.3,5.3,9.5,13,18.1,23,29.4,28.9,23.5,15.9,8.1,2.9,15.1
ida_belle,43.185,-116.783,47.58,35.79,45.96,39.89,51.97,31.19,10.96,8.4,12.63,26.59,37.67,51.14,399.77,-5.8,-4.7,-2,0.2,4.3,8,12.9,12.3,7.7,2,-2.9,-6,2.2,-1.3,0.3,3.7,6.6,11.2,15.5,21.1,20.6,15.6,9,2.6,-1.5,8.6,3.3,5.3,9.5,13,18.1,23,29.4,28.9,23.5,15.9,8.1,2.9,15.1
ida_belle,43.185,-116.783,47.58,35.79,45.96,39.89,51.97,31.19,10.96,8.4,12.63,26.59,37.67,51.14,399.77,-5.8,-4.7,-2,0.2,4.3,8,12.9,12.3,7.7,2,-2.9,-6,2.2,-1.3,0.3,3.7,6.6,11.2,15.5,21.1,20.6,15.6,9,2.6,-1.5,8.6,3.3,5.3,9.5,13,18.1,23,29.4,28.9,23.5,15.9,8.1,2.9,15.1
jackson_creek,44.699,-116.489,84.22,59.24,61.96,51.84,55.04,40.02,8.54,8.76,20.08,38.19,66.84,88.56,583.28,-8,-6.2,-2.3,0.7,4.8,8.3,12.1,10.9,5.9,0.5,-3.8,-7.4,1.3,-3.4,-0.7,4.2,8.2,13.1,17.2,22.4,21.6,16.2,9,2.1,-2.8,8.9,1.2,4.8,10.6,15.8,21.4,26.1,32.8,32.3,26.4,17.5,7.9,1.7,16.5
jackson_creek,44.699,-116.489,84.22,59.24,61.96,51.84,55.04,40.02,8.54,8.76,20.08,38.19,66.84,88.56,583.28,-8,-6.2,-2.3,0.7,4.8,8.3,12.1,10.9,5.9,0.5,-3.8,-7.4,1.3,-3.4,-0.7,4.2,8.2,13.1,17.2,22.4,21.6,16.2,9,2.1,-2.8,8.9,1.2,4.8,10.6,15.8,21.4,26.1,32.8,32.3,26.4,17.5,7.9,1.7,16.5
jackson_creek,44.699,-116.489,84.22,59.24,61.96,51.84,55.04,40.02,8.54,8.76,20.08,38.19,66.84,88.56,583.28,-8,-6.2,-2.3,0.7,4.8,8.3,12.1,10.9,5.9,0.5,-3.8,-7.4,1.3,-3.4,-0.7,4.2,8.2,13.1,17.2,22.4,21.6,16.2,9,2.1,-2.8,8.9,1.2,4.8,10.6,15.8,21.4,26.1,32.8,32.3,26.4,17.5,7.9,1.7,16.5
