Plot,iaf_cov,ipf_cov,iag_cov,ipg_cov,ips_cov,naf_cov,npf_cov,nag_cov,npg_cov,nps_cov,gen_cov
Palouse_Prairie_larson_road_b_SHRUB1_ctrl_one_yr,6.5,6,0,0,0,0,2.75,0,13.5,76.75,0
Palouse_Prairie_larson_road_x_FEID1_ctrl_one_yr,1,2.75,0,2.25,0,9,27.25,0,71,20,0.5
Palouse_Prairie_paradise_ridge_b_PSSP1_ctrl_one_yr,2,1.5,52.5,0,0,3,10.25,0,13,0,0
Palouse_Prairie_paradise_ridge_c_SHRUB1_ctrl_one_yr,1.5,0.5,0,0,0,1,44.75,0,20.25,13.75,3.25
Palouse_Prairie_paradise_ridge_e_PSSP1_ctrl_one_yr,11,0,13.75,0,0,6.25,11.25,0,20.25,23.5,4.25
Palouse_Prairie_paradise_ridge_f_PSSP1_ctrl_one_yr,3.25,0,24,7.5,0.5,12.25,13.5,0,8.25,0,0
Palouse_Prairie_paradise_ridge_h_PSSP1_ctrl_one_yr,0.5,0,15.5,0,0,5.75,4.25,0,10.75,0.5,5.25
Palouse_Prairie_paradise_ridge_i_SHRUB1_ctrl_one_yr,2.75,0,77.5,0,0,10.5,21,0,0,9.5,0
Palouse_Prairie_paradise_ridge_l_FEID1_ctrl_one_yr,0.5,0.5,79.75,0.5,0.5,1,31.5,0,5.25,0,0.5
Palouse_Prairie_paradise_ridge_x_SHRUB1_ctrl_one_yr,6,1,18.75,0,0,2.5,37.75,0,6.5,30,0.5
Palouse_Prairie_rimrock_road_b_FEID1_ctrl_one_yr,2.5,0.5,17.75,0,0,5.75,75.5,0,22.5,1,1
Palouse_Prairie_rimrock_road_d_FEID1_ctrl_one_yr,23.25,15.5,11,9.25,0,4.75,2,0,0.5,0.5,0
Palouse_Prairie_rimrock_road_e_FEID1_ctrl_one_yr,12.25,2,2,1,0,1.5,55.5,0,3.25,13,0.5
Palouse_Prairie_rimrock_road_f_FEID1_ctrl_one_yr,1,0.5,1.5,0,0,1.5,20.5,0,23,0.5,0
Palouse_Prairie_rimrock_road_g_FEID1_ctrl_one_yr,7,0.5,1.5,0,0,0.5,26,0,20,4.75,0.5
Palouse_Prairie_rimrock_road_x_FEID1_ctrl_one_yr,6.25,0.5,54.5,0,0,12.5,32.25,0,4.25,7.5,0
Palouse_Prairie_rose_creek_a_PSSP1_ctrl_one_yr,4.5,0,43.25,0,0,27.75,0,0,0,70,0
Palouse_Prairie_rose_creek_b_FEID1_ctrl_one_yr,1.75,3.5,1,5.5,0,0,21.5,0,27.75,33.75,0
Palouse_Prairie_rose_creek_c_FEID1_ctrl_one_yr,3.75,0,0.5,0,0,0,27.25,0,72.5,1.75,0
Palouse_Prairie_rose_creek_x_SHRUB1_ctrl_one_yr,0,0,36.75,0,0,1.5,28.75,0,20.5,1,0
Palouse_Prairie_smoot_hill_x_PSSP1_ctrl_one_yr,17.25,4.75,71,0.5,0,8.75,12.25,0,3.75,1.5,0
Palouse_Prairie_steptoe_butte_a_PSSP1_ctrl_one_yr,0,0,14,0,0,2.25,38.75,0,57.25,6,0
Palouse_Prairie_steptoe_butte_c_FEID1_ctrl_one_yr,0.5,2.25,21,7.5,0,5.75,40.25,0,23.5,3.75,0
Palouse_Prairie_steptoe_butte_d_FEID1_ctrl_one_yr,0,13,1.75,65.5,0,0,33.75,0,0,11,0
Palouse_Prairie_steptoe_butte_g_SHRUB1_ctrl_one_yr,0,0.5,84.25,0,0,2.25,27.75,0,0,1.5,0
Palouse_Prairie_steptoe_butte_i_PSSP1_ctrl_one_yr,1.5,1.75,52,0,0,11.75,7.5,0,19.75,0,6.25
Palouse_Prairie_steptoe_butte_j_SHRUB1_ctrl_one_yr,11.25,9,37.75,0,0,1.5,24.75,0,0,41,1.75
Palouse_Prairie_steptoe_butte_p_FEID1_ctrl_one_yr,1.5,2.25,15.5,0,0,1,20.25,0,28.5,5.5,0
Palouse_Prairie_steptoe_butte_q_PSSP1_ctrl_one_yr,0.5,0,17.75,0.5,0,2.5,2.25,0,3.5,0,0
Palouse_Prairie_tomer_butte_c_PSSP1_ctrl_one_yr,1,6,27,3.5,0.5,5.5,17.5,0,1,0,0
Palouse_Prairie_tomer_butte_x_PSSP1_ctrl_one_yr,10.25,0,88.25,0,0,9.5,11.75,0,4.75,0,0
Palouse_Prairie_union_flat_creek_a_SHRUB1_ctrl_one_yr,15.25,26.75,12.5,14.75,0,2.25,9.25,0,1.75,46.5,0
pine_town_road_1_ctrl_one_yr,0,0,22,4.2,0,6.6,0.6,0,0,0,8.6
pine_town_road_2_ctrl_one_yr,1.2,0.6,37,10,0,3,0,0,1.8,0,0.6
pine_town_road_3_ctrl_one_yr,3.8,0,41.4,3.6,0,1.2,0,0,0,0,2.4
Pinedale_100_ctrl_one_yr,0.83,0,10.83,0,0,0,0,2.5,20.83,1.67,0
Pinedale_112_ctrl_one_yr,0,0,15,0,0,0,0,1.67,26.66,0.83,0
Pinedale_130_ctrl_one_yr,1.67,0,30,0,0,5.83,0.83,0,15.83,0,0
