"","Plot","Type","Site","Year","Group","Incidence"
"227","S08-36-26","S08","S08-361","2015","GR",13
"228","S08-36-26","S08","S08-361","2015","LEG",1
"229","S08-36-59","S08","S08-361","2015","SHTR",3
"230","S08-36-59","S08","S08-361","2015","VI",13
"231","S08-36-59","S08","S08-361","2015","PF",13
"232","S08-36-59","S08","S08-361","2015","AF",2
"233","S08-36-59","S08","S08-361","2015","GR",21
"234","S08-36-59","S08","S08-361","2015","LEG",2
"235","S08-36-60","S08","S08-361","2015","SHTR",6
"236","S08-36-60","S08","S08-361","2015","VI",17
"237","S08-36-60","S08","S08-361","2015","PF",5
"238","S08-36-60","S08","S08-361","2015","AF",0
"239","S08-36-60","S08","S08-361","2015","GR",14
"240","S08-36-60","S08","S08-361","2015","LEG",0
"241","S13-17-17","S13","S13-17","2016","SHTR",7
"242","S13-17-17","S13","S13-17","2016","VI",1
"243","S13-17-17","S13","S13-17","2016","PF",43
"244","S13-17-17","S13","S13-17","2016","AF",10
"245","S13-17-17","S13","S13-17","2016","GR",37
"246","S13-17-17","S13","S13-17","2016","LEG",0
"247","S13-17-18","S13","S13-17","2016","SHTR",10
"248","S13-17-18","S13","S13-17","2016","VI",8
"249","S13-17-18","S13","S13-17","2016","PF",75
"250","S13-17-18","S13","S13-17","2016","AF",13
"251","S13-17-18","S13","S13-17","2016","GR",36
"252","S13-17-18","S13","S13-17","2016","LEG",10
"253","S13-17-49","S13","S13-17","2016","SHTR",10
"254","S13-17-49","S13","S13-17","2016","VI",14
"255","S13-17-49","S13","S13-17","2016","PF",35
"256","S13-17-49","S13","S13-17","2016","AF",16
"257","S13-17-49","S13","S13-17","2016","GR",30
"258","S13-17-49","S13","S13-17","2016","LEG",1
"259","S13-17-50","S13","S13-17","2016","SHTR",10
"260","S13-17-50","S13","S13-17","2016","VI",6
"261","S13-17-50","S13","S13-17","2016","PF",40
"262","S13-17-50","S13","S13-17","2016","AF",4
"263","S13-17-50","S13","S13-17","2016","GR",34
"264","S13-17-50","S13","S13-17","2016","LEG",8
"265","S13-2-65","S13","S13-2","2016","SHTR",8
"266","S13-2-65","S13","S13-2","2016","VI",6
