Plot,Lat,Lon,State,Region,Elevation,Slope,MAP,T_min,MAT,T_max,rich,Shannon,litter,bare_rock,BD0cm,BD100cm,BD15cm,Bd200cm,BD30cm,BD5cm,BD60cm,Clay0cm,Clay100cm,Clay15cm,Clay200cm,Clay30cm,Clay5cm,Clay60cm,N0cm,N100cm,N15cm,N200cm,N30cm,N5cm,N60cm,pH0cm,pH100cm,pH15cm,pH200cm,pH30cm,pH5cm,pH60cm,Sand0cm,Sand100cm,Sand15cm,Sand200cm,Sand30cm,Sand5cm,Sand60cm,SOC0cm,SOC100cm,SOC15cm,SOC200cm,SOC30cm,SOC5cm,SOC60cm
Sas_2_ctrl_one_yr,45.882,-111.056,MT,Western Cordillera,1499.04,5.03,530.29,-1.48,5.64,12.76,18,1.560012728,97.71,2.07,1042,1457,1320,1459,1376,1116,1417,21,22,23,21,25,21,26,17,12,25,14,16,25,12,73,80,70,80,73,70,78,24,32,24,35,22,24,24,60,6,20,5,12,28,8
Sas_3_ctrl_one_yr,45.882,-111.056,MT,Western Cordillera,1499.04,5.03,530.29,-1.48,5.64,12.76,21,2.05227328,92.86,4.21,1042,1457,1320,1459,1376,1116,1417,21,22,23,21,25,21,26,17,12,25,14,16,25,12,73,80,70,80,73,70,78,24,32,24,35,22,24,24,60,6,20,5,12,28,8
schwenkfelder_1_ctrl_one_yr,44.557,-116.491,ID,Cold Deserts,915.34,4.18,559.18,0.98,8.69,16.39,15,2.107642424,13.6,28.8,1108,1370,1274,1379,1288,1102,1342,24,28,28,29,32,25,35,21,11,14,11,12,19,11,64,69,66,70,66,65,68,21,32,20,34,19,21,21,34,6,15,5,9,22,8
schwenkfelder_2_ctrl_one_yr,44.557,-116.491,ID,Cold Deserts,915.34,4.18,559.18,0.98,8.69,16.39,9,1.878416418,19,9.4,1108,1370,1274,1379,1288,1102,1342,24,28,28,29,32,25,35,21,11,14,11,12,19,11,64,69,66,70,66,65,68,21,32,20,34,19,21,21,34,6,15,5,9,22,8
schwenkfelder_3_ctrl_one_yr,44.557,-116.491,ID,Cold Deserts,915.34,4.18,559.18,0.98,8.69,16.39,12,2.199557799,13.2,63.4,1108,1370,1274,1379,1288,1102,1342,24,28,28,29,32,25,35,21,11,14,11,12,19,11,64,69,66,70,66,65,68,21,32,20,34,19,21,21,34,6,15,5,9,22,8
Sheridan_613_ctrl_one_yr,44.846758,-107.050275,WY,West and South Central Semiarid Prairies,1285.32,24.52,418.79,-0.31,7.35,15,11,2.281395916,85,15,1051,1434,1221,1359,1319,1172,1346,28,33,33,29,42,29,38,58,39,45,39,41,52,40,66,79,68,79,71,66,77,36,36,33,44,27,38,31,79,6,15,6,11,23,8
Sheridan_619_ctrl_one_yr,44.846758,-107.050275,WY,West and South Central Semiarid Prairies,1285.32,24.52,418.79,-0.31,7.35,15,14,2.193624093,30,38.33,1051,1434,1221,1359,1319,1172,1346,28,33,33,29,42,29,38,58,39,45,39,41,52,40,66,79,68,79,71,66,77,36,36,33,44,27,38,31,79,6,15,6,11,23,8
Sheridan_631_ctrl_one_yr,44.846758,-107.050275,WY,West and South Central Semiarid Prairies,1285.32,24.52,418.79,-0.31,7.35,15,18,2.182691677,22.5,6.67,1051,1434,1221,1359,1319,1172,1346,28,33,33,29,42,29,38,58,39,45,39,41,52,40,66,79,68,79,71,66,77,36,36,33,44,27,38,31,79,6,15,6,11,23,8
Sheridan_637_ctrl_one_yr,44.846758,-107.050275,WY,West and South Central Semiarid Prairies,1285.32,24.52,418.79,-0.31,7.35,15,15,2.130769066,45.83,25.83,1051,1434,1221,1359,1319,1172,1346,28,33,33,29,42,29,38,58,39,45,39,41,52,40,66,79,68,79,71,66,77,36,36,33,44,27,38,31,79,6,15,6,11,23,8
Sheridan_648_ctrl_one_yr,44.846758,-107.050275,WY,West and South Central Semiarid Prairies,1285.32,24.52,418.79,-0.31,7.35,15,12,1.589200411,54.17,15,1051,1434,1221,1359,1319,1172,1346,28,33,33,29,42,29,38,58,39,45,39,41,52,40,66,79,68,79,71,66,77,36,36,33,44,27,38,31,79,6,15,6,11,23,8
Sheridan_655_ctrl_one_yr,44.846758,-107.050275,WY,West and South Central Semiarid Prairies,1285.32,24.52,418.79,-0.31,7.35,15,16,2.189153512,22.5,6.67,1051,1434,1221,1359,1319,1172,1346,28,33,33,29,42,29,38,58,39,45,39,41,52,40,66,79,68,79,71,66,77,36,36,33,44,27,38,31,79,6,15,6,11,23,8
Sheridan_667_ctrl_one_yr,44.846758,-107.050275,WY,West and South Central Semiarid Prairies,1285.32,24.52,418.79,-0.31,7.35,15,13,1.960284959,37.5,25.83,1051,1434,1221,1359,1319,1172,1346,28,33,33,29,42,29,38,58,39,45,39,41,52,40,66,79,68,79,71,66,77,36,36,33,44,27,38,31,79,6,15,6,11,23,8
Sheridan_676_ctrl_one_yr,44.846758,-107.050275,WY,West and South Central Semiarid Prairies,1285.32,24.52,418.79,-0.31,7.35,15,18,2.437728345,38.33,18.33,1051,1434,1221,1359,1319,1172,1346,28,33,33,29,42,29,38,58,39,45,39,41,52,40,66,79,68,79,71,66,77,36,36,33,44,27,38,31,79,6,15,6,11,23,8
Sheridan_679_ctrl_one_yr,44.846758,-107.050275,WY,West and South Central Semiarid Prairies,1285.32,24.52,418.79,-0.31,7.35,15,21,2.347722708,30,30.83,1051,1434,1221,1359,1319,1172,1346,28,33,33,29,42,29,38,58,39,45,39,41,52,40,66,79,68,79,71,66,77,36,36,33,44,27,38,31,79,6,15,6,11,23,8
