Plot,ALMY,APIN,BRAR,BRBR5,BRHO2,BRRA2,BRSE,BRST2,BRTE,TACA,VEDU,VUBR,VUMY
MPG1_1_ctrl_one_yr,0,0,0,0,0,0,0,0,10.93,0,0,0,0
MPG1_2_ctrl_one_yr,0,0,0,0,0,0,0,0,20.64,0,0,0,0
MPG1_3_ctrl_one_yr,0,0.07,0,0,0,0,0,0,16.57,0,0,0,0
MPG2_1_ctrl_one_yr,0,0,0,0,0,0,0,0,21.36,0,0,0.21,0
MPG2_2_ctrl_one_yr,0,0.07,0,0,0,0,0,0,30.29,0,0,0.07,0
MPG2_3_ctrl_one_yr,0,0,0,0,0,0,0,0,12.71,0,0,0,0
MPG3_1_ctrl_one_yr,0,0.14,0.14,0,0,0,0,0,2.29,0,8,0.36,0
MPG3_2_ctrl_one_yr,0,0.07,0.14,0,0,0,0,0,0.93,0,10.79,0.21,0
MPG3_3_ctrl_one_yr,0,0.21,0.07,0,0,0,0,0,1.29,0,5.86,0.07,0
Oren_1_ctrl_one_yr,0,0,2,0,0,0,0,0,0,0,70,0,0
Oren_2_ctrl_one_yr,0,0,1,0,0,0,0,0,0,0,50,0,0
Oren_3_ctrl_one_yr,0,0,1,0,0,0,0,0,0,0,45,0,0
Oren_4_ctrl_one_yr,0,0,2,0,0,0,0,0,0,0,35,0,0
Palouse_Prairie_airport_a_FEID1_ctrl_one_yr,0,0,0,0,1,0,0,0,0,0,4.75,0,0
Palouse_Prairie_airport_x_FEID1_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,0,0,0
Palouse_Prairie_bethel_canyon_c_SHRUB1_ctrl_one_yr,0,0.5,0,0,13.5,0,0,0,2.75,0,2.25,0,0
Palouse_Prairie_bethel_canyon_d_SHRUB1_ctrl_one_yr,0,0,0,0,19.75,0,0,0,0,0,16.75,0,0
Palouse_Prairie_driscoll_ridge_x_SHRUB1_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,0,0,0
Palouse_Prairie_jonejack_mountain_b_PSSP1_ctrl_one_yr,0,0,0,0,7,0,0,0,0.5,0,9,0,13
Palouse_Prairie_jonejack_mountain_c_PSSP1_ctrl_one_yr,0,0,1.5,0,7.75,0,0,0,0.5,0,24.25,0,3.75
Palouse_Prairie_kamiak_butte_g_SHRUB1_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,3.75,0,0
Palouse_Prairie_kamiak_butte_h_SHRUB1_ctrl_one_yr,0,0,0,0,0,21.5,0,0,1.75,0,41.75,0,5.25
Palouse_Prairie_kamiak_butte_i_PSSP1_ctrl_one_yr,0,0,0,0,0.5,1.5,0,0,0.5,0,10.25,0,5.5
Palouse_Prairie_kamiak_butte_j_SHRUB1_ctrl_one_yr,0,0,0,0,12.5,10.25,0,0,0,0,57.5,0,23
Palouse_Prairie_kamiak_butte_l_PSSP1_ctrl_one_yr,0,0,0,0,6.25,0,0,0,0.5,0,2,0,0
Palouse_Prairie_larson_road_a_SHRUB1_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,0,0,0
Palouse_Prairie_larson_road_b_SHRUB1_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,0,0,0
Palouse_Prairie_larson_road_x_FEID1_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,0,0,0
Palouse_Prairie_paradise_ridge_b_PSSP1_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,52.5,0,0
Palouse_Prairie_paradise_ridge_c_SHRUB1_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,0,0,0
Palouse_Prairie_paradise_ridge_e_PSSP1_ctrl_one_yr,0,0,0,0,0,0,0,0,8.25,0,5.5,0,0
Palouse_Prairie_paradise_ridge_f_PSSP1_ctrl_one_yr,0,0,0,0,0,0,0,0,20,0,4,0,0
Palouse_Prairie_paradise_ridge_h_PSSP1_ctrl_one_yr,0,0,0,0,5.25,0,0,0,8.5,0,0,0,1.75
Palouse_Prairie_paradise_ridge_i_SHRUB1_ctrl_one_yr,0,0,0,0,0,1.75,0,0,8.25,0,67.5,0,0
Palouse_Prairie_paradise_ridge_l_FEID1_ctrl_one_yr,0,0,0,0,0,9,0,0,6,0,62.5,0,2.25
Palouse_Prairie_paradise_ridge_x_SHRUB1_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,18.75,0,0
Palouse_Prairie_rimrock_road_b_FEID1_ctrl_one_yr,0,0,1.75,0,0,0,0,0,0.5,0,15.5,0,0
Palouse_Prairie_rimrock_road_d_FEID1_ctrl_one_yr,0,0,0,0,5,0,0,0,2.75,0,3.25,0,0
Palouse_Prairie_rimrock_road_e_FEID1_ctrl_one_yr,0,0,0,0,2,0,0,0,0,0,0,0,0
Palouse_Prairie_rimrock_road_f_FEID1_ctrl_one_yr,0,0,0,0,1,0,0,0,0,0,0.5,0,0
Palouse_Prairie_rimrock_road_g_FEID1_ctrl_one_yr,0,0,1,0,0,0,0,0,0,0,0.5,0,0
Palouse_Prairie_rimrock_road_x_FEID1_ctrl_one_yr,0,0,0.5,0,0,0,0,0,7.25,0,46.75,0,0
Palouse_Prairie_rose_creek_a_PSSP1_ctrl_one_yr,0,0,0,0,0,0,0,20.5,6,0.5,12.5,0,3.75
Palouse_Prairie_rose_creek_b_FEID1_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,1,0,0
Palouse_Prairie_rose_creek_c_FEID1_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,0.5,0,0
Palouse_Prairie_rose_creek_x_SHRUB1_ctrl_one_yr,0,0,0,1.75,3.75,4.25,0,0,9.75,0,17.25,0,0
Palouse_Prairie_smoot_hill_x_PSSP1_ctrl_one_yr,0,0,0,0,1.75,46.25,0,16.75,0,0,6.25,0,0
Palouse_Prairie_steptoe_butte_a_PSSP1_ctrl_one_yr,0,0,0,0,0,1.75,0,0,3.75,0,8.5,0,0
Palouse_Prairie_steptoe_butte_c_FEID1_ctrl_one_yr,0,0,0,0,0,4.75,0,0,1,0,15.25,0,0
Palouse_Prairie_steptoe_butte_d_FEID1_ctrl_one_yr,0,0,0,0,0,1.75,0,0,0,0,0,0,0
Palouse_Prairie_steptoe_butte_g_SHRUB1_ctrl_one_yr,0,0,0,0,0,48.75,0,0,0,0,35,0,0.5
Palouse_Prairie_steptoe_butte_i_PSSP1_ctrl_one_yr,0,0,0,0,0,2,0,0,2.25,0,43.75,0,4
Palouse_Prairie_steptoe_butte_j_SHRUB1_ctrl_one_yr,0,0,0,0,0,35,0,0,0,0,2.75,0,0
Palouse_Prairie_steptoe_butte_p_FEID1_ctrl_one_yr,0,0,0,0,1,0,0,0,0.5,0,14,0,0
Palouse_Prairie_steptoe_butte_q_PSSP1_ctrl_one_yr,0,0,3.25,0,0,0,0,0,9.75,0,1.5,0,3.25
Palouse_Prairie_tomer_butte_c_PSSP1_ctrl_one_yr,0,0,0.5,0,5.25,0,0,0,8.5,0,11.75,0,1
Palouse_Prairie_tomer_butte_x_PSSP1_ctrl_one_yr,0,0,0,0,16.5,0,0,0,9.25,0,62.5,0,0
Palouse_Prairie_union_flat_creek_a_SHRUB1_ctrl_one_yr,0,0,0,0,0,0,0,12.5,0,0,0,0,0
pine_town_road_1_ctrl_one_yr,0,0,4.6,0,0,0,0,0,0,13.2,4.2,0,0
pine_town_road_2_ctrl_one_yr,0,0,8.8,0,0,0,0,0,2.4,22,3.8,0,0
pine_town_road_3_ctrl_one_yr,0,0,12,0,0,0,0,0,11.8,17.6,0,0,0
Pinedale_100_ctrl_one_yr,0,0,0,0,0,0,0,0,10.83,0,0,0,0
Pinedale_112_ctrl_one_yr,0,0,0,0,0,0,0,0,15,0,0,0,0
Pinedale_130_ctrl_one_yr,0,0,0,0,0,0,0,0,30,0,0,0,0
Pinedale_133_ctrl_one_yr,0,0,0,0,0,0,0,0,1.67,0,0,0,0
Pinedale_145_ctrl_one_yr,0,0,0,0,0,0,0,0,30,0,0,0,0
Pinedale_148_ctrl_one_yr,0,0,0,0,0,0,0,0,6.67,0,0,0,0
Pinedale_166_ctrl_one_yr,0,0,0,0,0,0,0,0,38.33,0,0,0,0
Pinedale_169_ctrl_one_yr,0,0,0,0,0,0,0,0,18.33,0,0,0,0
Pinedale_184_ctrl_one_yr,0,0,0,0,0,0,0,0,10.83,0,0,0,0
Pinedale_31_ctrl_one_yr,0,0,0,0,0,0,0,0,6.67,0,0,0,0
Pinedale_34_ctrl_one_yr,0,0,0,0,0,0,0,0,6.67,0,0,0,0
Pinedale_46_ctrl_one_yr,0,0,0,0,0,0,0,0,2.5,0,0,0,0
Pinedale_55_ctrl_one_yr,0,0,0,0,0,0,0,0,10.83,0,0,0,0
Pinedale_70_ctrl_one_yr,0,0,0,0,0,0,0,0,6.67,0,0,0,0
Pinedale_79_ctrl_one_yr,0,0,0,0,0,0,0,0,2.5,0,0,0,0
Pinedale_88_ctrl_one_yr,0,0,0,0,0,0,0,0,22.5,0,0,0,0
Pinedale_97_ctrl_one_yr,0,0,0,0,0,0,0,0,22.5,0,0,0,0
prairie_road_1_ctrl_one_yr,0,0,22,0,0,0,0,0,0,0,5,0,0
prairie_road_2_ctrl_one_yr,0,0,2.4,0,0,0,0,0,0,0,1.8,0,0
prairie_road_3_ctrl_one_yr,0,0,7.8,0,0,0,0,0,0,0,7.4,0,0
prairiedog_101_ctrl_one_yr,0,0,1.5,0,0,0,0,0,0,0,40,0,0
prairiedog_203_ctrl_one_yr,0,0,1.5,0,0,0,0,0,0,0,40,0,0
prairiedog_205_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,1.5,0,0
prairiedog_301_ctrl_one_yr,0,0,1.5,0,0,0,0,0,0,0,40,0,0
prairiedog_310_ctrl_one_yr,0,0,1.5,0,0,0,0,0,1.5,0,1.5,0,0
prairiedog_402_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,0,0,0
prairiedog_411_ctrl_one_yr,0,0,0,0,0,0,0,0,0,0,1.5,0,0
Preacher_Creek_unburned_one_yr_1,0,0,0,0,0,0,0,0,2,0,0,0,0
Preacher_Creek_unburned_one_yr_2,0,0,0,0,0,0,0,0,2.25,0,0,0,0
Preacher_Creek_unburned_one_yr_3,0,0,0,0,0,0,0,0,5.81256,0,0,0,0
