"","Year","Location","Family","Block","Height","GLB"
"326","Sixth","Hill Farm","AGHS2",2,6.08,"AGHS2_Hill Farm_2"
"327","Sixth","Hill Farm","AGHS2",3,7.13,"AGHS2_Hill Farm_3"
"328","Sixth","Hill Farm","AGHS2",4,6.91,"AGHS2_Hill Farm_4"
"329","Sixth","Hill Farm","AGHS3",1,5.69,"AGHS3_Hill Farm_1"
"330","Sixth","Hill Farm","AGHS3",2,4.93,"AGHS3_Hill Farm_2"
"331","Sixth","Hill Farm","AGHS3",3,6.74,"AGHS3_Hill Farm_3"
"332","Sixth","Hill Farm","AGHS3",4,5.93,"AGHS3_Hill Farm_4"
"333","Sixth","Hill Farm","AGHS4",1,5.44,"AGHS4_Hill Farm_1"
"334","Sixth","Hill Farm","AGHS4",2,6.69,"AGHS4_Hill Farm_2"
"335","Sixth","Hill Farm","AGHS4",3,6.49,"AGHS4_Hill Farm_3"
"336","Sixth","Hill Farm","AGHS4",4,6.2,"AGHS4_Hill Farm_4"
"337","Seventh","LA Tech","AGH2",1,8.36,"AGH2_LA Tech_1"
